id,ra,dn,mag,con
32263,6.752481,-16.716116,-1.44,CMa
30365,6.399195,-52.69566,-0.62,Car
69451,14.26103,19.18241,-0.05,Boo
71456,14.660765,-60.833976,-0.01,Cen
90979,18.61564,38.783692,0.03,Lyr
24549,5.27815,45.997991,0.08,Aur
24378,5.242298,-8.20164,0.18,Ori
37173,7.655033,5.224993,0.4,CMi
7574,1.628556,-57.236757,0.45,Eri
27919,5.919529,7.407063,0.45,Ori
68483,14.063729,-60.373039,0.61,Cen
97338,19.846388,8.868322,0.76,Aql
60530,12.443311,-63.099092,0.77,Cru
21368,4.598677,16.509301,0.87,Tau
118360,5.277926,46.000842,0.96,Aur
65269,13.419883,-11.161322,0.98,Vir
80519,16.490128,-26.432002,1.06,Sco
37718,7.755277,28.026199,1.16,Gem
113008,22.960838,-29.622236,1.17,PsA
62239,12.795359,-59.688764,1.25,Cru
101767,20.690532,45.280338,1.25,Cyg
71453,14.660346,-60.8383,1.35,Cen
49528,10.139532,11.967207,1.36,Leo
33492,6.977097,-28.972084,1.5,CMa
36744,7.576634,31.888276,1.58,Gem
60893,12.519429,-57.113212,1.59,Cru
85665,17.560145,-37.103821,1.62,Sco
25273,5.418851,6.349702,1.64,Ori
25364,5.438198,28.60745,1.65,Tau
45106,9.220041,-69.717208,1.67,Car
26246,5.603559,-1.20192,1.69,Ori
108922,22.137209,-46.960975,1.73,Gru
26662,5.679313,-1.942572,1.74,Ori
39840,8.158876,-47.336588,1.75,Vel
62757,12.900472,55.959821,1.76,UMa
15824,3.405378,49.86118,1.79,Per
89906,18.402868,-34.384616,1.79,Sgr
53905,11.062155,61.751033,1.81,UMa
34354,7.139857,-26.3932,1.83,CMa
67088,13.792354,49.313265,1.85,UMa
40921,8.375236,-59.509483,1.86,Car
85965,17.62198,-42.997824,1.86,Sco
28288,5.992149,44.947433,1.9,Aur
82022,16.811077,-69.027715,1.91,TrA
31601,6.628528,16.399252,1.93,Gem
42794,8.745059,-54.708821,1.93,Vel
100425,20.427459,-56.73509,1.94,Pav
11734,2.52975,89.264109,1.97,UMi
30251,6.378329,-17.955918,1.98,CMa
46259,9.45979,-8.658603,1.99,Hya
9861,2.119555,23.462423,2.01,Ari
50440,10.332873,19.841489,2.01,Leo
3413,0.72649,-17.986605,2.04,Cet
92564,18.92109,-26.296722,2.05,Sgr
68714,14.111395,-36.369954,2.06,Cen
676,0.139791,29.090432,2.07,And
5436,1.162194,35.620558,2.07,And
27298,5.795941,-9.669605,2.07,Ori
72380,14.845105,74.155505,2.07,UMi
111768,22.711115,-46.884577,2.07,Gru
85769,17.582241,12.560035,2.08,Oph
14540,3.136148,40.955648,2.09,Per
9618,2.064984,42.329725,2.1,And
57459,11.817663,14.57206,2.14,Leo
4417,0.945143,60.71674,2.15,Cas
61739,12.691971,-48.959888,2.2,Cen
